date,day_of_week,xgb_pred,xgb_prob,m15_trend,h4_trend,is_aligned,alignment_score,confidence_adjustment,final_pred,final_prob,result,change_pct,was_correct,current_close,next_close,reasoning
2026-03-16,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.35%,❌,1.14980,1.15385,XGBoost DOWN mas tendência neutra
2026-03-17,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.65%,❌,1.15385,1.14630,XGBoost UP mas tendência neutra
2026-03-18,Wednesday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,0.99%,❌,1.14630,1.15761,XGBoost DOWN mas tendência neutra
2026-03-19,Thursday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.04%,❌,1.15761,1.15713,XGBoost UP mas tendência neutra
2026-03-20,Friday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,NO_DATA,N/A,WAIT,1.15713,N/A,XGBoost UP mas tendência neutra
2026-03-23,Monday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,UP,0.05%,❌,1.16078,1.16135,XGBoost DOWN mas tendência neutra
2026-03-24,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.45%,❌,1.16135,1.15612,XGBoost UP mas tendência neutra
2026-03-25,Wednesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.24%,✅,1.15612,1.15340,XGBoost DOWN mas tendência neutra
2026-03-26,Thursday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,DOWN,-0.19%,❌,1.15340,1.15121,XGBoost UP mas tendência neutra
2026-03-27,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,NO_DATA,N/A,WAIT,1.15121,N/A,XGBoost DOWN mas tendência neutra
