date,day_of_week,m15_trend,h4_trend,is_aligned,alignment_score,final_pred,final_prob,result,change_pct,was_correct
2026-01-01,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.25%,❌
2026-01-02,Friday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.06%,❌
2026-01-03,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,UP,0.38%,❌
2026-01-04,Sunday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.58%,❌
2026-01-05,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.27%,✅
2026-01-06,Tuesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.16%,✅
2026-01-07,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-0.05%,✅
2026-01-08,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.62%,✅
2026-01-09,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.52%,❌
2026-01-10,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.79%,✅
2026-01-11,Sunday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.74%,✅
2026-01-12,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.41%,❌
2026-01-13,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,1.19%,✅
2026-01-14,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.05%,❌
2026-01-15,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.81%,❌
2026-01-16,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.03%,✅
2026-01-17,Saturday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.34%,✅
2026-01-18,Sunday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.00%,❌
2026-01-19,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.65%,✅
2026-01-20,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.21%,✅
2026-01-21,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.29%,❌
2026-01-22,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,DOWN,-0.96%,❌
2026-01-23,Friday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.37%,✅
2026-01-24,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.85%,❌
2026-01-25,Sunday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.34%,❌
2026-01-26,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.07%,✅
2026-01-27,Tuesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.90%,❌
2026-01-28,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.38%,✅
2026-01-29,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.68%,✅
2026-01-30,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.27%,✅
2026-01-31,Saturday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.87%,❌
2026-02-01,Sunday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,UP,0.97%,✅
2026-02-02,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.41%,✅
2026-02-03,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.26%,❌
2026-02-04,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.28%,✅
2026-02-05,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.07%,✅
2026-02-06,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.08%,✅
2026-02-07,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-0.78%,✅
2026-02-08,Sunday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.17%,✅
2026-02-09,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,UP,0.38%,❌
2026-02-10,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.06%,✅
2026-02-11,Wednesday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-1.50%,✅
2026-02-12,Thursday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.77%,❌
2026-02-13,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,DOWN,-0.36%,❌
2026-02-14,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.22%,❌
2026-02-15,Sunday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,DOWN,-0.05%,✅
2026-02-16,Monday,NEUTRAL,NEUTRAL,❌,50%,DOWN,80.0%,DOWN,-0.03%,✅
2026-02-17,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.24%,✅
2026-02-18,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.07%,✅
2026-02-19,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.41%,✅
2026-02-20,Friday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,UP,0.44%,✅
2026-02-21,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,55.0%,DOWN,-0.74%,✅
2026-02-22,Sunday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,1.00%,❌
2026-02-23,Monday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,UP,0.45%,✅
2026-02-24,Tuesday,NEUTRAL,NEUTRAL,❌,50%,UP,55.0%,UP,0.08%,✅
2026-02-25,Wednesday,NEUTRAL,NEUTRAL,❌,50%,UP,80.0%,UP,0.45%,✅
2026-02-26,Thursday,NEUTRAL,NEUTRAL,❌,50%,UP,90.0%,DOWN,-0.44%,❌
2026-02-27,Friday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.22%,❌
2026-02-28,Saturday,NEUTRAL,NEUTRAL,❌,50%,DOWN,90.0%,UP,0.43%,❌
