datetime,open,high,low,close,atr_pct,confluence,regime,signal,entry_price,exit_price,exit_time,movement_pct,result
2026-01-01 00:00:00,1.28025,1.28049,1.27911,1.27919,0.1079,0,RANGE,HOLD,,,,,
2026-01-01 00:15:00,1.27907,1.27973,1.27871,1.27945,0.0938,1,RANGE,HOLD,,,,,
2026-01-01 00:30:00,1.28018,1.28133,1.27926,1.28054,0.1164,0,RANGE,HOLD,,,,,
2026-01-01 00:45:00,1.28046,1.28238,1.28016,1.28053,0.1306,2,RANGE,SELL (BEARISH),1.28053,1.2804019469999999,2026-01-01 01:00:00,0.3,WIN ✅ (+0.01%)
2026-01-01 01:00:00,1.27952,1.28112,1.2787,1.27912,0.1424,1,RANGE,HOLD,,,,,
2026-01-01 01:15:00,1.2793,1.28003,1.27765,1.27895,0.1497,1,RANGE,HOLD,,,,,
2026-01-01 01:30:00,1.27786,1.27908,1.27762,1.27838,0.1447,1,RANGE,HOLD,,,,,
2026-01-01 01:45:00,1.27746,1.27957,1.27688,1.27784,0.153,2,RANGE,BUY (BULLISH),1.27784,1.277967784,2026-01-01 02:00:00,0.09,WIN ✅ (+0.01%)
2026-01-01 02:00:00,1.27708,1.27847,1.2767,1.2774,0.1514,1,RANGE,HOLD,,,,,
2026-01-01 02:15:00,1.27726,1.2781,1.27663,1.2779,0.1477,1,RANGE,HOLD,,,,,
2026-01-01 02:30:00,1.27745,1.279,1.27661,1.27726,0.1514,2,RANGE,BUY (BULLISH),1.27726,1.277387726,2026-01-01 02:45:00,0.17,WIN ✅ (+0.01%)
2026-01-01 02:45:00,1.27813,1.2789,1.27667,1.27792,0.1532,1,RANGE,HOLD,,,,,
2026-01-01 03:00:00,1.27761,1.27896,1.2774,1.27828,0.1508,0,RANGE,HOLD,,,,,
2026-01-01 03:15:00,1.27876,1.27892,1.27765,1.27794,0.1472,0,RANGE,HOLD,,,,,
2026-01-01 03:30:00,1.27875,1.27937,1.27749,1.27835,0.1499,0,RANGE,HOLD,,,,,
2026-01-01 03:45:00,1.27819,1.27922,1.27784,1.27799,0.152,2,RANGE,HOLD,,,,,
2026-01-01 04:00:00,1.27732,1.27809,1.27638,1.27684,0.1501,1,RANGE,HOLD,,,,,
2026-01-01 04:15:00,1.27676,1.27714,1.27535,1.276,0.1478,0,RANGE,HOLD,,,,,
2026-01-01 04:30:00,1.27641,1.2772,1.27595,1.276,0.1412,0,RANGE,HOLD,,,,,
2026-01-01 04:45:00,1.27617,1.27631,1.27512,1.27629,0.1345,2,RANGE,BUY (BULLISH),1.27629,1.276417629,2026-01-01 05:00:00,0.15,WIN ✅ (+0.01%)
2026-01-01 05:00:00,1.27687,1.27743,1.27524,1.27663,0.1386,0,DOWN,HOLD,,,,,
2026-01-01 05:15:00,1.27593,1.27704,1.27573,1.27664,0.1309,0,DOWN,HOLD,,,,,
2026-01-01 05:30:00,1.27749,1.27815,1.27615,1.2765,0.1322,0,DOWN,HOLD,,,,,
2026-01-01 05:45:00,1.27589,1.27683,1.27501,1.27539,0.1342,1,DOWN,HOLD,,,,,
2026-01-01 06:00:00,1.2758,1.27672,1.27419,1.27442,0.1351,0,DOWN,HOLD,,,,,
2026-01-01 06:15:00,1.27451,1.27526,1.27379,1.27482,0.1308,1,DOWN,HOLD,,,,,
2026-01-01 06:30:00,1.27513,1.27604,1.27449,1.27557,0.1307,0,DOWN,HOLD,,,,,
2026-01-01 06:45:00,1.27496,1.27585,1.27461,1.27554,0.1305,0,DOWN,HOLD,,,,,
2026-01-01 07:00:00,1.27595,1.27737,1.27487,1.2773,0.1338,0,DOWN,HOLD,,,,,
2026-01-01 07:15:00,1.27689,1.27758,1.27544,1.27682,0.1381,1,DOWN,HOLD,,,,,
2026-01-01 07:30:00,1.27612,1.27754,1.27538,1.27577,0.1408,0,DOWN,HOLD,,,,,
2026-01-01 07:45:00,1.2757,1.27703,1.27539,1.27696,0.1398,0,DOWN,HOLD,,,,,
2026-01-01 08:00:00,1.27719,1.27759,1.27606,1.27632,0.1414,0,DOWN,HOLD,,,,,
2026-01-01 08:15:00,1.27675,1.27757,1.27551,1.27625,0.1463,0,DOWN,HOLD,,,,,
2026-01-01 08:30:00,1.27677,1.2769,1.27553,1.27593,0.1417,0,DOWN,HOLD,,,,,
2026-01-01 08:45:00,1.27662,1.27778,1.27578,1.27579,0.1456,0,DOWN,HOLD,,,,,
2026-01-01 09:00:00,1.27608,1.27693,1.27556,1.27607,0.1421,1,DOWN,HOLD,,,,,
2026-01-01 09:15:00,1.27645,1.27787,1.27573,1.27783,0.1437,0,DOWN,HOLD,,,,,
2026-01-01 09:30:00,1.27762,1.2785,1.27666,1.27706,0.1399,1,DOWN,HOLD,,,,,
2026-01-01 09:45:00,1.27712,1.27803,1.27609,1.27745,0.1425,0,DOWN,HOLD,,,,,
2026-01-01 10:00:00,1.27679,1.27829,1.27611,1.27624,0.1461,0,DOWN,HOLD,,,,,
2026-01-01 10:15:00,1.2759,1.27673,1.27457,1.276,0.1513,1,DOWN,HOLD,,,,,
2026-01-01 10:30:00,1.27613,1.27782,1.27469,1.27506,0.155,1,DOWN,HOLD,,,,,
2026-01-01 10:45:00,1.27518,1.27647,1.27437,1.27536,0.1547,2,DOWN,HOLD,,,,,
2026-01-01 11:00:00,1.27642,1.27679,1.27297,1.27558,0.164,2,DOWN,BUY (BULLISH),1.27558,1.275707558,2026-01-01 11:15:00,0.29,WIN ✅ (+0.01%)
2026-01-01 11:15:00,1.27563,1.27603,1.27529,1.27599,0.1589,1,DOWN,HOLD,,,,,
2026-01-01 11:30:00,1.27636,1.27772,1.27566,1.27735,0.1617,1,DOWN,HOLD,,,,,
2026-01-01 11:45:00,1.27792,1.27828,1.277,1.27703,0.1573,1,DOWN,HOLD,,,,,
2026-01-01 12:00:00,1.27672,1.27775,1.27563,1.27733,0.1615,1,DOWN,HOLD,,,,,
2026-01-01 12:15:00,1.27762,1.27928,1.27606,1.27842,0.1682,2,DOWN,SELL (BEARISH),1.27842,1.278292158,2026-01-01 12:30:00,0.14,WIN ✅ (+0.01%)
2026-01-01 12:30:00,1.27906,1.2795,1.27826,1.27919,0.1673,3,DOWN,SELL (BEARISH),1.27919,1.279062081,2026-01-01 12:45:00,0.2,WIN ✅ (+0.01%)
2026-01-01 12:45:00,1.27974,1.28021,1.27675,1.2781,0.1749,2,DOWN,SELL (BEARISH),1.2781,1.27797219,2026-01-01 13:00:00,0.11,WIN ✅ (+0.01%)
2026-01-01 13:00:00,1.27798,1.27862,1.27666,1.27754,0.1756,1,DOWN,HOLD,,,,,
2026-01-01 13:15:00,1.27807,1.27915,1.27735,1.27903,0.1746,1,UP,HOLD,,,,,
