<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.24	00:30:00	1.16868	1.16883	1.16833	1.16842	465	0	8
2026.04.24	00:45:00	1.16842	1.16859	1.16828	1.16850	521	0	8
2026.04.24	01:00:00	1.16850	1.16866	1.16830	1.16855	530	0	8
2026.04.24	01:15:00	1.16855	1.16871	1.16843	1.16844	443	0	8
2026.04.24	01:30:00	1.16844	1.16873	1.16817	1.16842	606	0	8
2026.04.24	01:45:00	1.16840	1.16883	1.16840	1.16882	412	0	8
2026.04.24	02:00:00	1.16882	1.16891	1.16833	1.16837	438	0	8
2026.04.24	02:15:00	1.16837	1.16843	1.16800	1.16800	391	0	8
2026.04.24	02:30:00	1.16800	1.16829	1.16798	1.16801	386	0	8
2026.04.24	02:45:00	1.16801	1.16801	1.16777	1.16787	289	0	8
2026.04.24	03:00:00	1.16787	1.16797	1.16758	1.16766	368	0	8
2026.04.24	03:15:00	1.16766	1.16773	1.16750	1.16752	368	0	8
2026.04.24	03:30:00	1.16752	1.16772	1.16725	1.16761	399	0	8
2026.04.24	03:45:00	1.16761	1.16783	1.16761	1.16778	368	0	8
2026.04.24	04:00:00	1.16777	1.16798	1.16761	1.16790	454	0	8
2026.04.24	04:15:00	1.16790	1.16793	1.16769	1.16777	293	0	8
2026.04.24	04:30:00	1.16777	1.16796	1.16773	1.16780	379	0	8
2026.04.24	04:45:00	1.16780	1.16813	1.16780	1.16787	318	0	8
2026.04.24	05:00:00	1.16787	1.16800	1.16762	1.16781	476	0	8
2026.04.24	05:15:00	1.16782	1.16803	1.16778	1.16790	331	0	8
2026.04.24	05:30:00	1.16790	1.16828	1.16790	1.16817	407	0	8
2026.04.24	05:45:00	1.16817	1.16828	1.16804	1.16817	268	0	8
2026.04.24	06:00:00	1.16817	1.16821	1.16795	1.16813	514	0	8
2026.04.24	06:15:00	1.16813	1.16818	1.16777	1.16802	500	0	8
2026.04.24	06:30:00	1.16802	1.16834	1.16785	1.16821	648	0	8
2026.04.24	06:45:00	1.16821	1.16822	1.16772	1.16782	531	0	8
2026.04.24	07:00:00	1.16781	1.16814	1.16758	1.16809	644	0	8
2026.04.24	07:15:00	1.16809	1.16829	1.16799	1.16808	564	0	8
2026.04.24	07:30:00	1.16808	1.16848	1.16785	1.16848	471	0	8
2026.04.24	07:45:00	1.16848	1.16934	1.16844	1.16908	678	0	8
2026.04.24	08:00:00	1.16906	1.16907	1.16836	1.16867	787	0	8
2026.04.24	08:15:00	1.16867	1.16956	1.16866	1.16912	1312	0	8
2026.04.24	08:30:00	1.16912	1.16913	1.16863	1.16867	682	0	8
2026.04.24	08:45:00	1.16867	1.16935	1.16865	1.16896	687	0	8
2026.04.24	09:00:00	1.16896	1.16905	1.16861	1.16877	562	0	8
2026.04.24	09:15:00	1.16876	1.16893	1.16840	1.16848	702	0	8
2026.04.24	09:30:00	1.16848	1.16890	1.16837	1.16872	496	0	8
2026.04.24	09:45:00	1.16872	1.16877	1.16852	1.16861	413	0	8
2026.04.24	10:00:00	1.16861	1.16900	1.16852	1.16879	494	0	8
2026.04.24	10:15:00	1.16879	1.16960	1.16877	1.16957	508	0	8
2026.04.24	10:30:00	1.16957	1.17009	1.16937	1.16998	471	0	8
2026.04.24	10:45:00	1.16999	1.17032	1.16976	1.17029	605	0	8
2026.04.24	11:00:00	1.17031	1.17121	1.17024	1.17075	1744	0	8
2026.04.24	11:15:00	1.17075	1.17177	1.17033	1.17176	2070	0	8
2026.04.24	11:30:00	1.17176	1.17181	1.17112	1.17164	1272	0	8
2026.04.24	11:45:00	1.17164	1.17181	1.17124	1.17141	933	0	8
2026.04.24	12:00:00	1.17143	1.17171	1.17109	1.17151	949	0	8
2026.04.24	12:15:00	1.17149	1.17160	1.17098	1.17133	973	0	8
2026.04.24	12:30:00	1.17133	1.17137	1.17064	1.17071	861	0	8
2026.04.24	12:45:00	1.17071	1.17111	1.17023	1.17085	1120	0	8
2026.04.24	13:00:00	1.17085	1.17121	1.17058	1.17077	943	0	8
2026.04.24	13:15:00	1.17078	1.17091	1.17015	1.17019	959	0	8
2026.04.24	13:30:00	1.17019	1.17039	1.16983	1.17035	1490	0	8
2026.04.24	13:45:00	1.17038	1.17075	1.17025	1.17065	1174	0	8
2026.04.24	14:00:00	1.17065	1.17147	1.17001	1.17105	2107	0	8
2026.04.24	14:15:00	1.17102	1.17158	1.17071	1.17113	1509	0	8
2026.04.24	14:30:00	1.17113	1.17166	1.17109	1.17114	1301	0	8
2026.04.24	14:45:00	1.17114	1.17120	1.17028	1.17060	1389	0	8
2026.04.24	15:00:00	1.17060	1.17076	1.17039	1.17049	1034	0	8
2026.04.24	15:15:00	1.17049	1.17081	1.17028	1.17069	833	0	8
2026.04.24	15:30:00	1.17069	1.17119	1.17003	1.17101	1316	0	8
2026.04.24	15:45:00	1.17101	1.17195	1.17092	1.17173	2020	0	8
2026.04.24	16:00:00	1.17173	1.17190	1.17129	1.17155	1112	0	8
2026.04.24	16:15:00	1.17154	1.17168	1.17127	1.17131	769	0	8
2026.04.24	16:30:00	1.17131	1.17181	1.17131	1.17146	801	0	8
2026.04.24	16:45:00	1.17147	1.17194	1.17146	1.17187	610	0	8
2026.04.24	17:00:00	1.17188	1.17208	1.17177	1.17188	784	0	8
2026.04.24	17:15:00	1.17188	1.17191	1.17148	1.17158	597	0	8
2026.04.24	17:30:00	1.17158	1.17159	1.17117	1.17139	887	0	8
2026.04.24	17:45:00	1.17140	1.17184	1.17123	1.17131	572	0	8
2026.04.24	18:00:00	1.17131	1.17141	1.17108	1.17136	514	0	8
2026.04.24	18:15:00	1.17136	1.17155	1.17120	1.17146	486	0	8
2026.04.24	18:30:00	1.17146	1.17183	1.17132	1.17178	426	0	8
2026.04.24	18:45:00	1.17178	1.17194	1.17156	1.17174	442	0	8
2026.04.24	19:00:00	1.17174	1.17201	1.17170	1.17197	428	0	8
2026.04.24	19:15:00	1.17197	1.17207	1.17166	1.17177	383	0	8
2026.04.24	19:30:00	1.17177	1.17192	1.17168	1.17171	672	0	8
2026.04.24	19:45:00	1.17169	1.17188	1.17150	1.17182	668	0	8
2026.04.24	20:00:00	1.17182	1.17206	1.17165	1.17196	505	0	8
2026.04.24	20:15:00	1.17196	1.17203	1.17171	1.17192	224	0	8
2026.04.24	20:30:00	1.17193	1.17208	1.17171	1.17206	275	0	8
2026.04.24	20:45:00	1.17207	1.17230	1.17191	1.17200	570	0	8
2026.04.26	21:00:00	1.16970	1.16990	1.16954	1.16990	42	0	23
2026.04.26	21:15:00	1.16990	1.17021	1.16980	1.17013	42	0	25
2026.04.26	21:30:00	1.17013	1.17088	1.17013	1.17072	167	0	8
2026.04.26	21:45:00	1.17072	1.17090	1.17053	1.17074	86	0	8
2026.04.26	22:00:00	1.17074	1.17121	1.17043	1.17066	436	0	8
2026.04.26	22:15:00	1.17066	1.17078	1.17052	1.17067	204	0	8
2026.04.26	22:30:00	1.17067	1.17082	1.17055	1.17068	143	0	8
2026.04.26	22:45:00	1.17068	1.17081	1.17058	1.17076	136	0	8
2026.04.26	23:00:00	1.17076	1.17088	1.17073	1.17081	167	0	8
2026.04.26	23:15:00	1.17081	1.17092	1.17061	1.17063	133	0	8
2026.04.26	23:30:00	1.17063	1.17063	1.17052	1.17057	124	0	8
2026.04.26	23:45:00	1.17057	1.17072	1.17050	1.17052	288	0	8
2026.04.27	00:00:00	1.17053	1.17098	1.17053	1.17097	647	0	8
2026.04.27	00:15:00	1.17097	1.17118	1.17077	1.17113	283	0	8
2026.04.27	00:30:00	1.17113	1.17136	1.17109	1.17135	232	0	8
2026.04.27	00:45:00	1.17136	1.17169	1.17119	1.17156	469	0	8
2026.04.27	01:00:00	1.17157	1.17264	1.17157	1.17197	1347	0	8
2026.04.27	01:15:00	1.17197	1.17265	1.17196	1.17223	642	0	8
2026.04.27	01:30:00	1.17223	1.17242	1.17206	1.17241	483	0	8
2026.04.27	01:45:00	1.17241	1.17263	1.17226	1.17242	497	0	8
2026.04.27	02:00:00	1.17242	1.17253	1.17192	1.17228	365	0	8
2026.04.27	02:15:00	1.17228	1.17254	1.17217	1.17237	294	0	8
2026.04.27	02:30:00	1.17237	1.17278	1.17236	1.17265	378	0	8
2026.04.27	02:45:00	1.17265	1.17279	1.17255	1.17262	379	0	8
2026.04.27	03:00:00	1.17262	1.17292	1.17260	1.17283	470	0	8
2026.04.27	03:15:00	1.17282	1.17289	1.17272	1.17282	285	0	8
2026.04.27	03:30:00	1.17282	1.17315	1.17276	1.17310	233	0	8
2026.04.27	03:45:00	1.17310	1.17323	1.17291	1.17291	249	0	8
2026.04.27	04:00:00	1.17291	1.17294	1.17276	1.17287	197	0	8
2026.04.27	04:15:00	1.17287	1.17304	1.17282	1.17303	224	0	8
2026.04.27	04:30:00	1.17303	1.17313	1.17291	1.17296	198	0	8
2026.04.27	04:45:00	1.17296	1.17296	1.17246	1.17264	326	0	8
2026.04.27	05:00:00	1.17264	1.17277	1.17239	1.17240	384	0	8
2026.04.27	05:15:00	1.17240	1.17262	1.17236	1.17256	272	0	8
2026.04.27	05:30:00	1.17256	1.17257	1.17235	1.17252	258	0	8
2026.04.27	05:45:00	1.17252	1.17266	1.17218	1.17221	309	0	8
2026.04.27	06:00:00	1.17221	1.17227	1.17181	1.17190	585	0	8
2026.04.27	06:15:00	1.17190	1.17209	1.17163	1.17185	601	0	8
2026.04.27	06:30:00	1.17185	1.17219	1.17173	1.17196	550	0	8
2026.04.27	06:45:00	1.17196	1.17294	1.17190	1.17294	568	0	8
2026.04.27	07:00:00	1.17294	1.17360	1.17289	1.17336	691	0	8
2026.04.27	07:15:00	1.17336	1.17343	1.17294	1.17306	585	0	8
2026.04.27	07:30:00	1.17306	1.17337	1.17294	1.17326	556	0	8
2026.04.27	07:45:00	1.17326	1.17447	1.17321	1.17436	807	0	8
2026.04.27	08:00:00	1.17436	1.17473	1.17400	1.17432	1037	0	8
2026.04.27	08:15:00	1.17432	1.17457	1.17389	1.17436	825	0	8
2026.04.27	08:30:00	1.17436	1.17455	1.17394	1.17450	674	0	8
2026.04.27	08:45:00	1.17450	1.17505	1.17450	1.17481	639	0	8
2026.04.27	09:00:00	1.17481	1.17506	1.17475	1.17492	584	0	8
2026.04.27	09:15:00	1.17492	1.17494	1.17440	1.17442	448	0	8
2026.04.27	09:30:00	1.17441	1.17457	1.17432	1.17442	412	0	8
2026.04.27	09:45:00	1.17442	1.17456	1.17406	1.17419	496	0	8
2026.04.27	10:00:00	1.17418	1.17438	1.17399	1.17401	500	0	8
2026.04.27	10:15:00	1.17401	1.17422	1.17386	1.17421	409	0	8
2026.04.27	10:30:00	1.17421	1.17440	1.17408	1.17431	426	0	8
2026.04.27	10:45:00	1.17431	1.17474	1.17419	1.17457	499	0	8
2026.04.27	11:00:00	1.17457	1.17467	1.17402	1.17406	546	0	8
2026.04.27	11:15:00	1.17405	1.17446	1.17395	1.17435	480	0	8
2026.04.27	11:30:00	1.17435	1.17440	1.17381	1.17402	453	0	8
2026.04.27	11:45:00	1.17402	1.17415	1.17375	1.17410	546	0	8
2026.04.27	12:00:00	1.17410	1.17515	1.17405	1.17511	770	0	8
2026.04.27	12:15:00	1.17512	1.17546	1.17462	1.17490	902	0	8
2026.04.27	12:30:00	1.17490	1.17495	1.17453	1.17477	700	0	8
2026.04.27	12:45:00	1.17477	1.17500	1.17433	1.17440	842	0	8
2026.04.27	13:00:00	1.17441	1.17528	1.17429	1.17492	1218	0	8
2026.04.27	13:15:00	1.17492	1.17536	1.17486	1.17486	837	0	8
2026.04.27	13:30:00	1.17486	1.17492	1.17426	1.17431	1000	0	8
2026.04.27	13:45:00	1.17431	1.17435	1.17354	1.17397	1162	0	8
2026.04.27	14:00:00	1.17397	1.17416	1.17356	1.17376	1017	0	8
2026.04.27	14:15:00	1.17376	1.17416	1.17373	1.17380	735	0	8
2026.04.27	14:30:00	1.17381	1.17451	1.17372	1.17437	909	0	8
2026.04.27	14:45:00	1.17437	1.17478	1.17329	1.17357	1237	0	8
2026.04.27	15:00:00	1.17357	1.17365	1.17313	1.17329	905	0	8
2026.04.27	15:15:00	1.17329	1.17364	1.17296	1.17333	785	0	8
2026.04.27	15:30:00	1.17333	1.17353	1.17312	1.17336	642	0	8
2026.04.27	15:45:00	1.17339	1.17343	1.17290	1.17304	739	0	8
2026.04.27	16:00:00	1.17304	1.17336	1.17288	1.17300	412	0	8
2026.04.27	16:15:00	1.17300	1.17322	1.17279	1.17287	554	0	8
2026.04.27	16:30:00	1.17287	1.17302	1.17284	1.17290	452	0	8
2026.04.27	16:45:00	1.17290	1.17320	1.17249	1.17258	450	0	8
2026.04.27	17:00:00	1.17258	1.17268	1.17216	1.17246	607	0	8
2026.04.27	17:15:00	1.17246	1.17250	1.17198	1.17224	627	0	8
2026.04.27	17:30:00	1.17224	1.17297	1.17223	1.17255	498	0	8
2026.04.27	17:45:00	1.17255	1.17256	1.17222	1.17228	376	0	8
2026.04.27	18:00:00	1.17228	1.17233	1.17206	1.17230	424	0	8
