feature,importance
ema_12,0.04991059
confluence,0.049533375
atr_ratio,0.047611114
sma_50,0.046352528
ema_26,0.045387693
atr_pct,0.042942304
macd,0.042274434
macd_histogram,0.041355673
sma_20,0.040888336
macd_signal,0.040847514
sma_trend,0.04055571
high_low_ratio,0.040153738
roc,0.03859248
upper_wick,0.038363744
momentum,0.038041957
stoch_k,0.037836805
bb_width,0.037559077
lower_wick,0.03724303
bb_position,0.036990214
stoch_d,0.036969252
close_body_ratio,0.0369342
rsi,0.036447912
price_to_high_20,0.03556957
is_bullish,0.03239041
regime,0.029248266
