datetime,signal,confluence,entry_price,exit_price,exit_time,movement_pct,result,target,win_probability,score_category
2023-01-02 06:45:00,BUY (BULLISH),2,1.06828,1.06807,2023-01-02 14:00:00,-0.0197,LOSS ❌ (-0.02%),0,0.19724093,LOW (<50%)
2023-01-02 15:00:00,BUY (BULLISH),2,1.06725,1.05739,2023-01-03 14:00:00,-0.9239,LOSS ❌ (-0.92%),0,0.28780496,LOW (<50%)
2023-01-02 16:30:00,BUY (BULLISH),2,1.06538,1.06751076,2023-01-02 23:00:00,0.2,WIN ✅ (+0.20%),1,0.68398213,MEDIUM (50-70%)
2023-01-02 18:30:00,BUY (BULLISH),2,1.06525,1.0673805,2023-01-02 23:00:00,0.2,WIN ✅ (+0.20%),1,0.5919493,MEDIUM (50-70%)
2023-01-02 19:00:00,BUY (BULLISH),2,1.0652,1.0673304,2023-01-02 23:00:00,0.2,WIN ✅ (+0.20%),1,0.64035624,MEDIUM (50-70%)
2023-01-02 23:15:00,BUY (BULLISH),2,1.06641,1.05739,2023-01-03 14:00:00,-0.8458,LOSS ❌ (-0.85%),0,0.17040774,LOW (<50%)
2023-01-03 04:15:00,SELL (BEARISH),3,1.06779,1.06565442,2023-01-03 06:30:00,0.2,WIN ✅ (+0.20%),1,0.76435095,HIGH (>70%)
2023-01-03 04:30:00,SELL (BEARISH),2,1.06773,1.06559454,2023-01-03 06:30:00,0.2,WIN ✅ (+0.20%),1,0.6578308,MEDIUM (50-70%)
2023-01-03 07:00:00,BUY (BULLISH),2,1.06518,1.05739,2023-01-03 14:00:00,-0.7313,LOSS ❌ (-0.73%),0,0.15172203,LOW (<50%)
2023-01-03 10:30:00,BUY (BULLISH),3,1.05368,1.0557873599999998,2023-01-03 13:15:00,0.2,WIN ✅ (+0.20%),1,0.9070053,HIGH (>70%)
2023-01-03 11:00:00,BUY (BULLISH),2,1.05271,1.05481542,2023-01-03 12:30:00,0.2,WIN ✅ (+0.20%),1,0.93232965,HIGH (>70%)
2023-01-03 11:15:00,BUY (BULLISH),2,1.05261,1.05471522,2023-01-03 12:30:00,0.2,WIN ✅ (+0.20%),1,0.8257564,HIGH (>70%)
2023-01-04 08:15:00,SELL (BEARISH),2,1.06213,1.06000574,2023-01-04 12:00:00,0.2,WIN ✅ (+0.20%),1,0.81797314,HIGH (>70%)
2023-01-04 08:30:00,SELL (BEARISH),2,1.06095,1.06146,2023-01-04 14:00:00,-0.0481,LOSS ❌ (0.05%),0,0.13853504,LOW (<50%)
2023-01-04 13:15:00,BUY (BULLISH),2,1.06132,1.06146,2023-01-04 14:00:00,0.0132,LOSS ❌ (0.01%),0,0.33573088,LOW (<50%)
2023-01-04 14:45:00,SELL (BEARISH),2,1.06237,1.06024526,2023-01-04 15:00:00,0.2,WIN ✅ (+0.20%),1,0.8567887,HIGH (>70%)
2023-01-04 15:15:00,BUY (BULLISH),2,1.05978,1.06189956,2023-01-04 16:45:00,0.2,WIN ✅ (+0.20%),1,0.7054028,HIGH (>70%)
2023-01-05 01:00:00,SELL (BEARISH),2,1.06283,1.06070434,2023-01-05 03:45:00,0.2,WIN ✅ (+0.20%),1,0.67688274,MEDIUM (50-70%)
2023-01-05 05:00:00,BUY (BULLISH),2,1.0604,1.0625208,2023-01-05 08:15:00,0.2,WIN ✅ (+0.20%),1,0.8173135,HIGH (>70%)
2023-01-05 05:15:00,BUY (BULLISH),2,1.06035,1.0624707,2023-01-05 08:15:00,0.2,WIN ✅ (+0.20%),1,0.8445937,HIGH (>70%)
2023-01-05 08:15:00,SELL (BEARISH),2,1.06192,1.05979616,2023-01-05 12:45:00,0.2,WIN ✅ (+0.20%),1,0.6274843,MEDIUM (50-70%)
2023-01-05 09:30:00,SELL (BEARISH),2,1.06252,1.06039496,2023-01-05 11:30:00,0.2,WIN ✅ (+0.20%),1,0.78688455,HIGH (>70%)
2023-01-05 09:45:00,SELL (BEARISH),2,1.0623,1.0601754,2023-01-05 12:45:00,0.2,WIN ✅ (+0.20%),1,0.82065433,HIGH (>70%)
2023-01-05 14:00:00,BUY (BULLISH),2,1.05596,1.05307,2023-01-06 14:00:00,-0.2737,LOSS ❌ (-0.27%),0,0.13315187,LOW (<50%)
2023-01-05 14:30:00,BUY (BULLISH),2,1.0549,1.05307,2023-01-06 14:00:00,-0.1735,LOSS ❌ (-0.17%),0,0.057133783,LOW (<50%)
2023-01-05 15:00:00,BUY (BULLISH),2,1.05428,1.05307,2023-01-06 14:00:00,-0.1148,LOSS ❌ (-0.11%),0,0.09573244,LOW (<50%)
2023-01-05 15:15:00,BUY (BULLISH),2,1.05283,1.05307,2023-01-06 14:00:00,0.0228,LOSS ❌ (0.02%),0,0.061799508,LOW (<50%)
2023-01-05 15:30:00,BUY (BULLISH),2,1.05268,1.05307,2023-01-06 14:00:00,0.037,LOSS ❌ (0.04%),0,0.1333668,LOW (<50%)
2023-01-05 15:45:00,BUY (BULLISH),2,1.0518,1.0539036000000002,2023-01-05 18:15:00,0.2,WIN ✅ (+0.20%),1,0.68302566,MEDIUM (50-70%)
2023-01-06 07:15:00,BUY (BULLISH),2,1.05138,1.05348276,2023-01-06 13:45:00,0.2,WIN ✅ (+0.20%),1,0.8550535,HIGH (>70%)
2023-01-06 09:15:00,BUY (BULLISH),2,1.05071,1.05281142,2023-01-06 13:30:00,0.2,WIN ✅ (+0.20%),1,0.83801836,HIGH (>70%)
2023-01-06 13:30:00,SELL (BEARISH),2,1.05242,1.05307,2023-01-06 14:00:00,-0.0618,LOSS ❌ (0.06%),0,0.44358656,LOW (<50%)
2023-01-06 15:45:00,SELL (BEARISH),2,1.06012,1.06422,2023-01-06 21:45:00,-0.3867,LOSS ❌ (0.39%),0,0.10552694,LOW (<50%)
2023-01-06 16:00:00,SELL (BEARISH),2,1.0605,1.06422,2023-01-06 21:45:00,-0.3508,LOSS ❌ (0.35%),0,0.12733366,LOW (<50%)
2023-01-06 16:15:00,SELL (BEARISH),2,1.06037,1.06422,2023-01-06 21:45:00,-0.3631,LOSS ❌ (0.36%),0,0.10776394,LOW (<50%)
2023-01-06 16:45:00,SELL (BEARISH),2,1.06183,1.06422,2023-01-06 21:45:00,-0.2251,LOSS ❌ (0.23%),0,0.11838793,LOW (<50%)
2023-01-06 17:00:00,SELL (BEARISH),3,1.06191,1.06422,2023-01-06 21:45:00,-0.2175,LOSS ❌ (0.22%),0,0.09849277,LOW (<50%)
2023-01-06 18:00:00,SELL (BEARISH),2,1.06346,1.06422,2023-01-06 21:45:00,-0.0715,LOSS ❌ (0.07%),0,0.049388755,LOW (<50%)
2023-01-06 19:30:00,SELL (BEARISH),2,1.06452,1.06422,2023-01-06 21:45:00,0.0282,LOSS ❌ (-0.03%),0,0.06881559,LOW (<50%)
2023-01-09 04:45:00,SELL (BEARISH),2,1.06762,1.07216,2023-01-09 14:00:00,-0.4252,LOSS ❌ (0.43%),0,0.1823291,LOW (<50%)
2023-01-09 05:30:00,SELL (BEARISH),2,1.06786,1.07216,2023-01-09 14:00:00,-0.4027,LOSS ❌ (0.40%),0,0.16119404,LOW (<50%)
2023-01-09 06:15:00,SELL (BEARISH),2,1.06791,1.07216,2023-01-09 14:00:00,-0.398,LOSS ❌ (0.40%),0,0.10855164,LOW (<50%)
2023-01-09 08:00:00,SELL (BEARISH),2,1.06921,1.06707158,2023-01-09 09:30:00,0.2,WIN ✅ (+0.20%),1,0.73601246,HIGH (>70%)
2023-01-09 08:15:00,SELL (BEARISH),2,1.06902,1.06688196,2023-01-09 09:30:00,0.2,WIN ✅ (+0.20%),1,0.6772446,MEDIUM (50-70%)
2023-01-09 08:45:00,SELL (BEARISH),2,1.06899,1.06685202,2023-01-09 09:30:00,0.2,WIN ✅ (+0.20%),1,0.72616374,HIGH (>70%)
2023-01-09 09:45:00,BUY (BULLISH),2,1.06718,1.06931436,2023-01-09 12:45:00,0.2,WIN ✅ (+0.20%),1,0.72323084,HIGH (>70%)
2023-01-09 13:30:00,SELL (BEARISH),2,1.072,1.07216,2023-01-09 14:00:00,-0.0149,LOSS ❌ (0.01%),0,0.058026887,LOW (<50%)
2023-01-09 14:00:00,SELL (BEARISH),2,1.07216,1.07434,2023-01-10 14:00:00,-0.2033,LOSS ❌ (0.20%),0,0.19270848,LOW (<50%)
2023-01-09 14:45:00,SELL (BEARISH),2,1.07277,1.07434,2023-01-10 14:00:00,-0.1464,LOSS ❌ (0.15%),0,0.33812577,LOW (<50%)
2023-01-09 15:00:00,SELL (BEARISH),2,1.07341,1.07126318,2023-01-10 13:30:00,0.2,WIN ✅ (+0.20%),1,0.7710007,HIGH (>70%)
2023-01-09 15:45:00,SELL (BEARISH),2,1.07398,1.07183204,2023-01-10 12:30:00,0.2,WIN ✅ (+0.20%),1,0.84806937,HIGH (>70%)
