feature,importance
regime,0.079930305
ema_12,0.05947227
macd_histogram,0.055128597
macd,0.053232048
sma_20,0.04787825
ema_26,0.047024027
atr_pct,0.045533646
bb_position,0.04536235
stoch_k,0.044260662
stoch_d,0.043813817
high_low_ratio,0.041931488
price_to_high_20,0.041870512
upper_wick,0.037983745
bb_width,0.037806537
rsi,0.037680987
sma_trend,0.037636004
momentum,0.033435434
atr_ratio,0.032751694
roc,0.03169896
sma_50,0.031320266
lower_wick,0.030858774
is_bullish,0.030438533
close_body_ratio,0.027052449
macd_signal,0.025898626
confluence,0.0
